,client,year,engagement_index
0,Acme Corporation,2022,12
46,Vertex Enterprises,2022,12
44,Techtonic Solutions,2022,14
42,Synergy Ventures,2022,20
40,Sunburst Solutions,2022,18
38,Stellar Services,2022,10
36,SilverStar Systems,2022,14
34,QuantumCraft Inc.,2022,19
32,Quantum Systems Inc.,2022,17
30,Phoenix Ventures,2022,16
28,OptiTech Solutions,2022,28
26,Omega Dynamics,2022,7
48,Widget Industries,2022,9
22,Moonshot Technologies,2022,7
20,InnovateX Solutions,2022,12
18,Horizon Technologies,2022,35
24,Nexus Enterprises,2022,5
6,BlueSky Innovations,2022,21
8,BrightWave Technologies,2022,17
14,FusionWorks Group,2022,21
2,Alpha Omega Labs,2022,10
12,EcoFusion Energy,2022,22
16,Global Innovations Group,2022,24
10,DynaCore Industries,2022,5
4,Apex Innovations,2022,29
37,SilverStar Systems,2023,6
5,Apex Innovations,2023,24
39,Stellar Services,2023,5
17,Global Innovations Group,2023,18
43,Synergy Ventures,2023,30
45,Techtonic Solutions,2023,22
1,Acme Corporation,2023,13
47,Vertex Enterprises,2023,15
41,Sunburst Solutions,2023,19
3,Alpha Omega Labs,2023,15
33,Quantum Systems Inc.,2023,9
7,BlueSky Innovations,2023,20
31,Phoenix Ventures,2023,13
9,BrightWave Technologies,2023,17
29,OptiTech Solutions,2023,26
27,Omega Dynamics,2023,13
11,DynaCore Industries,2023,10
25,Nexus Enterprises,2023,8
23,Moonshot Technologies,2023,14
13,EcoFusion Energy,2023,28
21,InnovateX Solutions,2023,17
19,Horizon Technologies,2023,18
15,FusionWorks Group,2023,26
35,QuantumCraft Inc.,2023,23
49,Widget Industries,2023,11
